global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
25,Settembre,1,5,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1610.1
26,Settembre,1,6,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1611.5
27,Settembre,1,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1711.4
28,Settembre,1,6,3,D3,0,[],[],0,{},0,0,0,0.0,1,0,0,1465.9
29,Settembre,1,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1610.9
30,Settembre,1,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1644.2
31,Ottobre,2,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1609.0
32,Ottobre,2,1,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1709.1
33,Ottobre,2,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1420.1
34,Ottobre,2,1,4,D4,0,[],[],0,{},0,0,0,2.0,1,1,0,1624.1
35,Ottobre,2,1,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1621.1
36,Ottobre,2,2,1,D1,0,[],[],0,{},0,0,0,2.0,0,1,1,1605.8
37,Ottobre,2,2,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1704.2
38,Ottobre,2,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1467.4
39,Ottobre,2,2,4,D4,0,[],[],0,{},0,0,0,0.0,0,2,0,1623.5
40,Ottobre,2,2,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1642.6
41,Ottobre,2,3,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1563.0
42,Ottobre,2,3,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1704.3
43,Ottobre,2,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1472.6
44,Ottobre,2,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1616.2
45,Ottobre,2,3,5,D5,0,[],[],0,{},0,0,0,1.6,0,1,1,1586.3
46,Ottobre,2,4,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1612.0
47,Ottobre,2,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1701.8
48,Ottobre,2,4,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1481.5
49,Ottobre,2,4,4,D4,0,[],[],0,{},0,0,0,0.0,0,0,0,1612.1
50,Ottobre,2,4,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1630.2
51,Ottobre,2,5,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1614.9
52,Ottobre,2,5,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1723.7
53,Ottobre,2,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1449.2
54,Ottobre,2,5,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1622.2
55,Ottobre,2,5,5,D5,0,[],[],0,{},0,0,0,0.0,0,2,0,1617.8
56,Ottobre,2,6,1,D1,0,[],[],0,{},0,0,0,2.0,1,0,0,1606.8
57,Ottobre,2,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1712.8
58,Ottobre,2,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1461.8
59,Ottobre,2,6,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1624.4
60,Ottobre,2,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1643.2
61,Novembre,3,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1606.1
62,Novembre,3,1,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1676.6
63,Novembre,3,1,3,D3,0,[],[],0,{},0,0,0,1.6,0,0,0,1463.3
64,Novembre,3,1,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1585.5
65,Novembre,3,1,5,D5,0,[],[],0,{},0,0,0,1.0,0,1,0,1606.6
66,Novembre,3,2,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1609.5
67,Novembre,3,2,2,D2,0,[],[],0,{},0,0,0,1.6,0,0,0,1708.7
68,Novembre,3,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1436.0
69,Novembre,3,2,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1624.4
70,Novembre,3,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1645.5
71,Novembre,3,3,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1605.9
72,Novembre,3,3,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,0,1710.4
73,Novembre,3,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1446.1
74,Novembre,3,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1621.4
75,Novembre,3,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1572.2
76,Novembre,3,4,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1607.1
77,Novembre,3,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1697.6
78,Novembre,3,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1436.0
79,Novembre,3,4,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1613.6
80,Novembre,3,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1631.9
81,Novembre,3,5,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1617.4
82,Novembre,3,5,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1714.7
83,Novembre,3,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1463.3
84,Novembre,3,5,4,D4,0,[],[],0,{},0,0,0,1.0,1,0,0,1562.2
85,Novembre,3,5,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1613.7
86,Novembre,3,6,1,D1,0,[],[],0,{},0,0,0,2.0,1,1,0,1616.4
87,Novembre,3,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1704.5
88,Novembre,3,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1471.9
89,Novembre,3,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1547.8
90,Novembre,3,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1631.1
91,Dicembre,4,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,0,0,1615.4
92,Dicembre,4,1,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1701.5
93,Dicembre,4,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1466.8
94,Dicembre,4,1,4,D4,0,[],[],0,{},0,0,0,1.0,0,1,1,1623.5
95,Dicembre,4,1,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1597.3
