global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
66,Novembre,3,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1604.1
67,Novembre,3,2,2,D2,0,[],[],0,{},0,0,0,1.6,1,0,0,1705.5
68,Novembre,3,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1437.9
69,Novembre,3,2,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1587.3
70,Novembre,3,2,5,D5,0,[],[],0,{},0,0,0,1.6,0,0,0,1619.0
71,Novembre,3,3,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1652.4
72,Novembre,3,3,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,0,1668.5
73,Novembre,3,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1399.4
74,Novembre,3,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1622.4
75,Novembre,3,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1621.9
76,Novembre,3,4,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1620.8
77,Novembre,3,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1691.3
78,Novembre,3,4,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,1,1463.4
79,Novembre,3,4,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,0,1648.7
80,Novembre,3,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1582.3
81,Novembre,3,5,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1625.1
82,Novembre,3,5,2,D2,0,[],[],0,{},0,0,0,2.0,0,1,1,1706.2
83,Novembre,3,5,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1466.1
84,Novembre,3,5,4,D4,0,[],[],0,{},0,0,0,1.0,0,0,0,1604.6
85,Novembre,3,5,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1625.1
86,Novembre,3,6,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1613.0
87,Novembre,3,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1706.5
88,Novembre,3,6,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1479.0
89,Novembre,3,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1602.5
90,Novembre,3,6,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1623.0
91,Dicembre,4,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,0,0,1674.8
92,Dicembre,4,1,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1677.9
93,Dicembre,4,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1462.6
94,Dicembre,4,1,4,D4,0,[],[],0,{},0,0,0,1.0,0,1,1,1642.4
95,Dicembre,4,1,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1651.5
96,Dicembre,4,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1613.9
97,Dicembre,4,2,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1711.5
98,Dicembre,4,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,0,0,1453.2
99,Dicembre,4,2,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1610.2
100,Dicembre,4,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1627.8
101,Dicembre,4,3,1,D1,0,[],[],0,{},0,0,0,2.0,0,1,1,1616.2
102,Dicembre,4,3,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1719.0
103,Dicembre,4,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1439.4
104,Dicembre,4,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1610.6
105,Dicembre,4,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1607.7
106,Dicembre,4,4,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1619.2
107,Dicembre,4,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1718.2
108,Dicembre,4,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1401.3
109,Dicembre,4,4,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1624.5
110,Dicembre,4,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1619.1
111,Dicembre,4,5,1,D1,0,[],[],0,{},0,0,0,0.0,1,2,0,1620.8
112,Dicembre,4,5,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1727.1
113,Dicembre,4,5,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,1,1512.8
114,Dicembre,4,5,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,0,1650.8
115,Dicembre,4,5,5,D5,0,[],[],0,{},0,0,0,1.0,0,1,1,1613.1
116,Dicembre,4,6,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1553.3
117,Dicembre,4,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1718.1
118,Dicembre,4,6,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1473.7
119,Dicembre,4,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,0,0,1604.9
120,Dicembre,4,6,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1620.8
121,Gennaio,5,1,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1636.8
122,Gennaio,5,1,2,D2,0,[],[],0,{},0,0,0,0.0,0,2,1,1711.8
123,Gennaio,5,1,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1507.6
124,Gennaio,5,1,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1603.9
125,Gennaio,5,1,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1626.0
126,Gennaio,5,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,0,0,1595.5
127,Gennaio,5,2,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1702.6
128,Gennaio,5,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1465.6
129,Gennaio,5,2,4,D4,0,[],[],0,{},0,0,0,2.0,0,1,1,1621.6
130,Gennaio,5,2,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1601.9
131,Gennaio,5,3,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1613.0
132,Gennaio,5,3,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1701.4
133,Gennaio,5,3,3,D3,0,[],[],0,{},0,0,0,1.6,0,0,0,1465.8
134,Gennaio,5,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1613.2
135,Gennaio,5,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1624.8
136,Gennaio,5,4,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1536.8
137,Gennaio,5,4,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1718.4
138,Gennaio,5,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1466.9
139,Gennaio,5,4,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1603.1
140,Gennaio,5,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1639.3
141,Gennaio,5,5,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1615.8
142,Gennaio,5,5,2,D2,0,[],[],0,{},0,0,0,0.0,0,2,0,1713.0
143,Gennaio,5,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1399.9
144,Gennaio,5,5,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1666.2
145,Gennaio,5,5,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1628.6
146,Gennaio,5,6,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1615.2
147,Gennaio,5,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1712.1
148,Gennaio,5,6,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,1,1490.1
149,Gennaio,5,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,0,1657.6
150,Gennaio,5,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1585.1
151,Febbraio,6,1,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1652.8
152,Febbraio,6,1,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1709.5
153,Febbraio,6,1,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1430.6
154,Febbraio,6,1,4,D4,0,[],[],0,{},0,0,0,0.0,0,0,0,1542.1
155,Febbraio,6,1,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1629.6
156,Febbraio,6,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1609.5
157,Febbraio,6,2,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1683.3
158,Febbraio,6,2,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,0,1412.6
159,Febbraio,6,2,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1616.2
160,Febbraio,6,2,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1625.5
161,Febbraio,6,3,1,D1,0,[],[],0,{},0,0,0,0.0,0,0,0,1608.1
162,Febbraio,6,3,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1708.2
163,Febbraio,6,3,3,D3,0,[],[],0,{},0,0,0,1.6,0,1,0,1482.6
164,Febbraio,6,3,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1625.5
165,Febbraio,6,3,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1693.2
166,Febbraio,6,4,1,D1,0,[],[],0,{},0,0,0,2.0,0,1,1,1613.7
167,Febbraio,6,4,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1702.0
168,Febbraio,6,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,0,0,1462.0
169,Febbraio,6,4,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1614.8
170,Febbraio,6,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1626.6
171,Febbraio,6,5,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1619.5
172,Febbraio,6,5,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1697.6
173,Febbraio,6,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1445.8
174,Febbraio,6,5,4,D4,0,[],[],0,{},0,0,0,1.6,1,1,0,1566.3
175,Febbraio,6,5,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1616.8
176,Febbraio,6,6,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1536.4
177,Febbraio,6,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1709.0
178,Febbraio,6,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1419.5
179,Febbraio,6,6,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1599.0
180,Febbraio,6,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1623.2
