global_day,month,cycle,variant,day_in_variant,day_type,meal_count,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal,energy_reference_kcal,energy_delta_kcal,energy_delta_pct,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,soft_windows_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,review_score
37,Ottobre,2,2,2,D2,6,1.0,3,0,0,1703.1,1709.0,-5.9,-0.0035,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,0,0,213
38,Ottobre,2,2,3,D3,3,0.6,1,1,0,1466.5,1467.0,-0.5,-0.0003,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,130
39,Ottobre,2,2,4,D4,5,3.6,2,1,0,1623.9,1614.0,9.9,0.0061,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,1,221
40,Ottobre,2,2,5,D5,5,0.0,2,1,0,1642.9,1626.0,16.9,0.0104,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,207
41,Ottobre,2,3,1,D1,5,0.0,3,2,0,1562.8,1612.0,-49.2,-0.0305,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,3,0,0,216
42,Ottobre,2,3,2,D2,6,0.0,2,1,0,1705.4,1709.0,-3.6,-0.0021,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,3,0,0,216
43,Ottobre,2,3,3,D3,3,1.6,2,1,0,1475.6,1467.0,8.6,0.0059,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,210
44,Ottobre,2,3,4,D4,5,5.2,3,1,0,1618.5,1614.0,4.5,0.0028,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,1,221
45,Ottobre,2,3,5,D5,5,1.6,2,1,0,1586.7,1626.0,-39.3,-0.0242,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,210
46,Ottobre,2,4,1,D1,5,3.2,4,1,0,1612.2,1612.0,0.2,0.0001,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,1,0,226
47,Ottobre,2,4,2,D2,6,5.2,4,2,0,1702.5,1709.0,-6.5,-0.0038,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,2,0,0,221
48,Ottobre,2,4,3,D3,3,1.6,1,1,0,1475.9,1467.0,8.9,0.0061,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,0,146
49,Ottobre,2,4,4,D4,5,2.0,2,0,0,1614.2,1614.0,0.2,0.0001,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",7,0,0,0,227
50,Ottobre,2,4,5,D5,5,1.6,1,0,0,1630.1,1626.0,4.1,0.0025,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",7,0,0,0,151
51,Ottobre,2,5,1,D1,5,6.2,2,1,0,1615.6,1612.0,3.6,0.0022,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",7,4,0,0,255
52,Ottobre,2,5,2,D2,6,5.6,4,0,0,1724.6,1709.0,15.6,0.0091,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",7,2,0,0,249
