global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
115,Dicembre,4,5,5,D5,237,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,1,5.6,2,1,0,1625.3
71,Novembre,3,3,1,D1,236,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""pasta_rice"": 4, ""plant_protein_main"": 7}",3,0,0,1.0,2,1,0,1605.8
161,Febbraio,6,3,1,D1,236,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",3,0,0,0.0,2,1,0,1592.4
162,Febbraio,6,3,2,D2,235,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",3,0,1,0.0,4,1,0,1704.3
57,Ottobre,2,6,2,D2,234,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,0,3.6,2,1,0,1712.1
83,Novembre,3,5,3,D3,234,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,0,3.2,2,1,0,1463.6
86,Novembre,3,6,1,D1,234,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",2,1,0,2.0,3,1,0,1613.9
87,Novembre,3,6,2,D2,234,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,0,4.6,3,0,0,1703.1
144,Gennaio,5,5,4,D4,234,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",1,0,0,0.0,3,2,0,1611.7
176,Febbraio,6,6,1,D1,232,"[""cheese_dairy_day""]","[""egg_daily_spread""]",5,"{""cheese_dairy_window"": 5, ""egg_equivalent"": 5, ""pasta_rice"": 5, ""plant_protein_main"": 5}",2,1,0,3.6,4,0,0,1619.6
